CNKEY;CN_CODE;LEVEL;NAME_FR
010011000090;I;1;SECTION I  ANIMAUX VIVANTS ET PRODUITS DU RÈGNE ANIMAL
010021000090;01;2;CHAPITRE 1  ANIMAUX VIVANTS
010100000080;0101;3;Chevaux, ânes, mulets et bardots, vivants
010121000010;;4; Chevaux
010121000080;0101 21 00;5; reproducteurs de race pure
010129000080;0101 29;5; autres
010129100080;0101 29 10;6; destinés à la boucherie
010129900080;0101 29 90;6; autres
010130000080;0101 30 00;4; Ânes
010190000080;0101 90 00;4; autres
010200000080;0102;3;Animaux vivants de l'espèce bovine
010221000010;;4; Bovins domestiques
010221000080;0102 21;5; reproducteurs de race pure
010221100080;0102 21 10;6; Génisses (bovins femelles qui n'ont jamais vêlé)
010221300080;0102 21 30;6; Vaches
010221900080;0102 21 90;6; autres
010229000080;0102 29;5; autres
010229050080;0102 29 05;6; du sousgenre Bibos ou du sousgenre Poephagus
010229100010;;6; autres
010229100080;0102 29 10;7; d'un poids n'excédant pas 80 kg
010229210010;;7; d'un poids excédant 80 kg mais n'excédant pas 160 kg
010229210080;0102 29 21;8; destinés à la boucherie
010229290080;0102 29 29;8; autres
010229410010;;7; d'un poids excédant 160 kg mais n'excédant pas 300 kg
010229410080;0102 29 41;8; destinés à la boucherie
010229490080;0102 29 49;8; autres
010229510010;;7; d'un poids excédant 300 kg
010229510020;;8; Génisses (bovins femelles qui n'ont jamais vêlé)
010229510080;0102 29 51;9; destinées à la boucherie
010229590080;0102 29 59;9; autres
010229610010;;8; Vaches
010229610080;0102 29 61;9; destinées à la boucherie
010229690080;0102 29 69;9; autres
010229910010;;8; autres
010229910080;0102 29 91;9; destinés à la boucherie
010229990080;0102 29 99;9; autres
010231000010;;4; Buffles
010231000080;0102 31 00;5; reproducteurs de race pure
010239000080;0102 39;5; autres
010239100080;0102 39 10;6; des espèces domestiques
010239900080;0102 39 90;6; autres
010290000080;0102 90;4; autres
010290200080;0102 90 20;5; reproducteurs de race pure
010290910010;;5; autres
010290910080;0102 90 91;6; des espèces domestiques
010290990080;0102 90 99;6; autres
010300000080;0103;3;Animaux vivants de l'espèce porcine
010310000080;0103 10 00;4; reproducteurs de race pure
010391000010;;4; autres
010391000080;0103 91;5; d'un poids inférieur à 50 kg
010391100080;0103 91 10;6; des espèces domestiques
010391900080;0103 91 90;6; autres
010392000080;0103 92;5; d'un poids égal ou supérieur à 50 kg
010392110010;;6; des espèces domestiques
010392110080;0103 92 11;7; Truies ayant mis bas au moins une fois et d'un poids minimal de 160 kg
010392190080;0103 92 19;7; autres
010392900080;0103 92 90;6; autres
010400000080;0104;3;Animaux vivants des espèces ovine ou caprine
010410000080;0104 10;4; de l'espèce ovine
010410100080;0104 10 10;5; reproducteurs de race pure
010410300010;;5; autres
010410300080;0104 10 30;6; Agneaux (jusqu'à l'âge d'un an)
010410800080;0104 10 80;6; autres
010420000080;0104 20;4; de l'espèce caprine
010420100080;0104 20 10;5; reproducteurs de race pure
010420900080;0104 20 90;5; autres
