"CNKEY";"CN_CODE";"LEVEL";"NAME_FR"
"010011000090";"I";"1";"SECTION I  ANIMAUX VIVANTS ET PRODUITS DU RÈGNE ANIMAL"
"010021000090";"01";"2";"CHAPITRE 1  ANIMAUX VIVANTS"
"010100000080";"0101";"3";"Chevaux, ânes, mulets et bardots, vivants"
"010121000010";"";"4";"Chevaux"
"010121000080";"01012100";"5";"reproducteurs de race pure"
"010129000080";"010129";"5";"autres"
"010129100080";"01012910";"6";"destinés à la boucherie"
"010129900080";"01012990";"6";"autres"
"010130000080";"01013000";"4";"Ânes"
"010190000080";"01019000";"4";"autres"
"010200000080";"0102";"3";"Animaux vivants de l'espèce bovine"
"010221000010";"";"4";"Bovins domestiques"
"010221000080";"010221";"5";"reproducteurs de race pure"
"010221100080";"01022110";"6";"Génisses (bovins femelles qui n'ont jamais vêlé)"
"010221300080";"01022130";"6";"Vaches"
"010221900080";"01022190";"6";"autres"
"010229000080";"010229";"5";"autres"
"010229050080";"01022905";"6";"du sousgenre Bibos ou du sousgenre Poephagus"
"010229100010";"";"6";"autres"
"010229100080";"01022910";"7";"d'un poids n'excédant pas 80 kg"
"010229210010";"";"7";"d'un poids excédant 80 kg mais n'excédant pas 160 kg"
"010229210080";"01022921";"8";"destinés à la boucherie"
"010229290080";"01022929";"8";"autres"
"010229410010";"";"7";"d'un poids excédant 160 kg mais n'excédant pas 300 kg"
"010229410080";"01022941";"8";"destinés à la boucherie"
"010229490080";"01022949";"8";"autres"
"010229510010";"";"7";"d'un poids excédant 300 kg"
"010229510020";"";"8";"Génisses (bovins femelles qui n'ont jamais vêlé)"
"010229510080";"01022951";"9";"destinées à la boucherie"
"010229590080";"01022959";"9";"autres"
"010229610010";"";"8";"Vaches"
"010229610080";"01022961";"9";"destinées à la boucherie"
"010229690080";"01022969";"9";"autres"
"010229910010";"";"8";"autres"
"010229910080";"01022991";"9";"destinés à la boucherie"
"010229990080";"01022999";"9";"autres"
"010231000010";"";"4";"Buffles"
"010231000080";"01023100";"5";"reproducteurs de race pure"
"010239000080";"010239";"5";"autres"
"010239100080";"01023910";"6";"des espèces domestiques"
"010239900080";"01023990";"6";"autres"
"010290000080";"010290";"4";"autres"
"010290200080";"01029020";"5";"reproducteurs de race pure"
"010290910010";"";"5";"autres"
"010290910080";"01029091";"6";"des espèces domestiques"
"010290990080";"01029099";"6";"autres"
"010300000080";"0103";"3";"Animaux vivants de l'espèce porcine"
"010310000080";"01031000";"4";"reproducteurs de race pure"
"010391000010";"";"4";"autres"
"010391000080";"010391";"5";"d'un poids inférieur à 50 kg"
"010391100080";"01039110";"6";"des espèces domestiques"
"010391900080";"01039190";"6";"autres"
"010392000080";"010392";"5";"d'un poids égal ou supérieur à 50 kg"
"010392110010";"";"6";"des espèces domestiques"
"010392110080";"01039211";"7";"Truies ayant mis bas au moins une fois et d'un poids minimal de 160 kg"
"010392190080";"01039219";"7";"autres"
"010392900080";"01039290";"6";"autres"
"010400000080";"0104";"3";"Animaux vivants des espèces ovine ou caprine"
"010410000080";"010410";"4";"de l'espèce ovine"
